iter	Passed	Remaining
319	20170	11345
320	20231	11281
321	20293	11218
322	20360	11157
323	20418	11091
324	20485	11030
325	20544	10965
326	20607	10902
327	20667	10837
328	20727	10773
329	20788	10709
330	20844	10642
331	20905	10578
332	20965	10514
333	21026	10450
334	21089	10387
335	21152	10324
336	21214	10260
337	21277	10198
338	21339	10134
339	21399	10070
340	21459	10006
341	21520	9942
342	21586	9880
343	21645	9816
344	21705	9751
345	21767	9688
346	21827	9624
347	21890	9561
348	21959	9501
349	22024	9439
350	22087	9376
351	22147	9311
352	22210	9249
353	22274	9186
354	22343	9126
355	22442	9077
356	22544	9030
357	22633	8977
358	22705	8917
359	22775	8857
360	22861	8802
361	22919	8737
362	22977	8672
363	23040	8608
364	23098	8543
365	23159	8479
366	23242	8422
367	23312	8361
368	23380	8300
369	23452	8240
370	23529	8181
371	23600	8120
372	23667	8058
373	23741	7998
374	23812	7937
375	23880	7875
376	23946	7812
377	24014	7750
378	24091	7691
379	24151	7626
380	24213	7562
381	24274	7498
382	24332	7433
383	24394	7369
384	24454	7304
385	24515	7240
386	24573	7175
387	24632	7110
388	24692	7045
389	24751	6981
390	24810	6916
391	24874	6853
392	24931	6787
393	24989	6723
394	25051	6659
395	25111	6594
396	25174	6531
397	25237	6467
398	25294	6402
399	25356	6339
400	25414	6274
401	25477	6210
402	25541	6147
403	25606	6084
404	25672	6021
405	25733	5957
406	25796	5894
407	25864	5832
408	25933	5769
409	26004	5708
410	26073	5646
411	26151	5585
412	26209	5521
413	26268	5456
414	26335	5393
415	26405	5331
416	26471	5268
417	26533	5205
418	26590	5140
419	26649	5076
420	26713	5012
421	26774	4948
422	26871	4891
423	26954	4831
424	27012	4766
425	27075	4703
426	27132	4638
427	27188	4573
428	27251	4510
429	27309	4445
430	27370	4381
431	27432	4318
432	27489	4253
433	27550	4189
434	27610	4125
435	27668	4061
436	27729	3997
437	27793	3934
438	27852	3870
439	27913	3806
440	27973	3742
441	28038	3679
442	28107	3616
443	28176	3553
444	28241	3490
445	28308	3427
446	28374	3364
447	28447	3301
448	28510	3238
449	28575	3175
450	28637	3111
451	28718	3049
452	28778	2985
453	28842	2922
454	28900	2858
455	28960	2794
456	29020	2730
457	29097	2668
458	29176	2606
459	29241	2542
460	29301	2478
461	29365	2415
462	29424	2351
463	29483	2287
464	29545	2223
465	29606	2160
466	29672	2096
467	29734	2033
468	29795	1969
469	29855	1905
470	29919	1842
471	29979	1778
472	30041	1714
473	30099	1651
474	30162	1587
475	30220	1523
476	30282	1460
477	30343	1396
478	30405	1333
479	30468	1269
480	30527	1205
481	30590	1142
482	30649	1078
483	30719	1015
484	30781	952
485	30846	888
486	30906	825
487	30974	761
488	31037	698
489	31099	634
490	31157	571
491	31218	507
492	31280	444
493	31345	380
494	31405	317
495	31470	253
496	31533	190
497	31598	126
498	31663	63
499	31725	0
