iter	Accuracy	Logloss
189	0.8924851607	0.2642709345
190	0.89270915	0.2639893769
191	0.8930451338	0.2633858548
192	0.8934931123	0.2631144595
193	0.8938290962	0.2625041267
194	0.8938290962	0.2624895172
195	0.8933811177	0.2621287411
196	0.8937171016	0.2619220561
197	0.8939410908	0.2614063721
198	0.8940530855	0.2612872963
199	0.8941650801	0.2611225952
200	0.8937171016	0.2609784206
201	0.8939410908	0.2604797844
202	0.8945010639	0.2598862942
203	0.8943890693	0.2596094075
204	0.8949490424	0.2588038634
205	0.8955090156	0.2585959015
206	0.8955090156	0.2582870292
207	0.8957330048	0.2579118354
208	0.8955090156	0.2578588986
209	0.8955090156	0.2577941452
210	0.8956210102	0.257324799
211	0.8958449994	0.2569885963
212	0.8959569941	0.2563405111
213	0.8957330048	0.2562192321
214	0.8957330048	0.2561901747
215	0.8959569941	0.2553197103
216	0.8958449994	0.2551930995
217	0.8959569941	0.2549244792
218	0.8968529511	0.2541614444
219	0.8965169672	0.2538300906
220	0.8967409564	0.2533984462
221	0.8968529511	0.2532555235
222	0.8971889349	0.2527401888
223	0.8975249188	0.2521711025
224	0.898644865	0.251648465
225	0.898644865	0.2511072168
226	0.898644865	0.2505736227
227	0.8985328704	0.2504660849
228	0.8985328704	0.2504355054
229	0.898644865	0.2504144286
230	0.8989808489	0.2500995219
231	0.8992048382	0.2498399555
232	0.8990928435	0.2496992376
233	0.8994288274	0.2496465382
234	0.8999888005	0.2492734811
235	0.9005487737	0.2483064678
236	0.9003247844	0.2479810682
237	0.9008847575	0.2475302514
238	0.9007727629	0.2469847945
239	0.901332736	0.2468561215
240	0.9011087468	0.2465777514
241	0.902228693	0.2460232378
242	0.9021166984	0.2459215393
243	0.9020047038	0.2456783792
244	0.9025646769	0.2452992112
245	0.9024526823	0.2447882684
246	0.9027886661	0.2443721702
247	0.9033486393	0.2435394968
248	0.9034606339	0.2432836725
249	0.9037966178	0.242828766
250	0.9036846231	0.242482007
251	0.9039086124	0.2424367299
252	0.904020607	0.2421408888
253	0.9037966178	0.241980291
254	0.9041326016	0.2416928495
255	0.9045805801	0.2414417232
256	0.9046925748	0.2411820458
257	0.9044685855	0.2406587335
258	0.9050285586	0.2398813842
259	0.9053645425	0.2392141124
260	0.905812521	0.238787656
261	0.905812521	0.2386628848
262	0.9060365102	0.2377755788
263	0.9063724941	0.2374840087
264	0.9065964834	0.2369346073
265	0.906708478	0.2368978825
266	0.9069324672	0.2363900383
267	0.9070444619	0.2363369121
268	0.9069324672	0.2360968322
269	0.9069324672	0.2357860227
270	0.9068204726	0.2355331029
271	0.9068204726	0.2354754874
272	0.9070444619	0.235375478
273	0.9073804457	0.2351142919
274	0.9074924404	0.2346765782
275	0.9078284242	0.2342798372
276	0.9081644081	0.2339138413
277	0.9081644081	0.2333658049
278	0.9081644081	0.2333504156
279	0.9083883974	0.2332690665
280	0.9083883974	0.2331789207
281	0.9083883974	0.2329225864
282	0.9083883974	0.2327410249
283	0.9088363759	0.2323653303
284	0.9091723597	0.2322862886
285	0.9091723597	0.2321555938
286	0.9090603651	0.2320512294
287	0.909396349	0.231608903
288	0.9095083436	0.231516874
289	0.9098443275	0.2312562697
290	0.9099563221	0.2311746732
291	0.9104043006	0.2307078124
292	0.9104043006	0.2304570596
293	0.9106282898	0.2302289327
294	0.9109642737	0.2297550955
295	0.9107402845	0.2294733635
296	0.9107402845	0.2292471084
297	0.9110762683	0.2290504376
298	0.9107402845	0.2284222802
299	0.9107402845	0.2283853477
300	0.9108522791	0.2279330921
301	0.9109642737	0.22776472
302	0.9115242468	0.2273877349
303	0.9116362415	0.2270466401
304	0.9119722253	0.2266918264
305	0.9116362415	0.2263227007
306	0.9115242468	0.2261222462
307	0.9117482361	0.2260278162
308	0.9119722253	0.2259465309
309	0.9121962146	0.225757094
310	0.9123082092	0.2253211941
311	0.9119722253	0.2251518233
312	0.9123082092	0.2248142857
313	0.912980177	0.2244832119
314	0.9130921716	0.2243580995
315	0.9130921716	0.2243509022
316	0.9134281554	0.224105922
317	0.9135401501	0.2240306831
318	0.9134281554	0.2238530909
319	0.9141001232	0.2235627899
320	0.9137641393	0.223291101
321	0.9145481017	0.2228790125
322	0.9145481017	0.2227365242
323	0.9145481017	0.2223384629
324	0.9145481017	0.22225086
325	0.9148840856	0.2214541098
326	0.9148840856	0.2213533621
327	0.9149960802	0.2212077379
328	0.9155560533	0.2208251737
329	0.9157800426	0.2203383737
330	0.9154440587	0.2199687525
331	0.9158920372	0.2197519387
332	0.9157800426	0.2195687159
333	0.9157800426	0.2192524176
334	0.9161160264	0.2189605095
335	0.9161160264	0.2187505923
336	0.9163400157	0.218544703
337	0.9162280211	0.2184668553
338	0.9167879942	0.2183184953
339	0.9167879942	0.2181068849
340	0.9173479673	0.2178502554
341	0.9174599619	0.2175403086
342	0.9179079404	0.2171885395
343	0.9179079404	0.2170094649
344	0.9176839512	0.2167378605
345	0.9176839512	0.2163408167
346	0.9177959458	0.2162489024
347	0.9181319297	0.2161626283
348	0.9182439243	0.2161076329
349	0.9184679135	0.2158629646
350	0.9183559189	0.2157356123
351	0.9184679135	0.2157081002
352	0.9185799082	0.2155580088
353	0.9185799082	0.2154571458
354	0.9190278867	0.2151563932
355	0.9191398813	0.2147589356
356	0.9196998544	0.2145459017
357	0.9194758652	0.2142896224
358	0.9200358383	0.2139680884
359	0.9199238437	0.2138625309
360	0.9202598275	0.2135082648
361	0.9204838168	0.2133553936
362	0.9203718222	0.2126914876
363	0.9203718222	0.2126687015
364	0.9204838168	0.2124768605
365	0.9203718222	0.2122927116
366	0.9203718222	0.2122775687
367	0.920707806	0.2121680508
368	0.9211557845	0.2118446191
369	0.9212677791	0.2117064633
370	0.921603763	0.2115452818
371	0.9217157576	0.2115350472
372	0.9217157576	0.211144623
373	0.9221637361	0.2109986908
374	0.9221637361	0.2106954102
375	0.9220517415	0.2106037227
376	0.9222757308	0.2102741493
377	0.9222757308	0.2101427608
378	0.9220517415	0.2096784932
379	0.9223877254	0.2095007977
380	0.9226117146	0.2091096623
381	0.92249972	0.2089609438
382	0.9223877254	0.20867256
383	0.92249972	0.2085148472
384	0.9227237093	0.2080790499
385	0.92249972	0.2077420141
386	0.9229476985	0.2075237799
387	0.9235076716	0.2071713283
388	0.9237316609	0.2066361136
389	0.9237316609	0.2064727901
390	0.9244036286	0.2063913694
391	0.9244036286	0.2062326756
392	0.9246276179	0.2056909802
393	0.9244036286	0.2054627324
394	0.9246276179	0.2053592907
395	0.9244036286	0.2051258633
396	0.9248516071	0.205022536
397	0.9245156233	0.2047980489
398	0.9248516071	0.2043859606
399	0.9246276179	0.2042077142
400	0.9254115802	0.203642286
401	0.9254115802	0.2035118563
402	0.9252995856	0.2033262934
403	0.9257475641	0.2031973141
404	0.9256355695	0.203130012
405	0.9257475641	0.2031031737
406	0.9258595587	0.2028317273
407	0.9259715534	0.2026279564
408	0.9258595587	0.2024990137
409	0.9259715534	0.2024238853
410	0.926083548	0.2022930094
411	0.9263075372	0.2021435425
412	0.926083548	0.2020809445
413	0.9265315265	0.2018141692
414	0.9274274835	0.2015920104
415	0.9272034942	0.2015251696
416	0.9273154889	0.2011888623
417	0.9277634674	0.2007674736
418	0.927875462	0.2004676909
419	0.927875462	0.2001953734
420	0.927875462	0.1998134305
421	0.9282114459	0.1994402285
422	0.9285474297	0.1992457012
423	0.9286594243	0.1989509038
424	0.9286594243	0.1988881458
425	0.9285474297	0.1986795095
426	0.9284354351	0.1985633056
427	0.9285474297	0.198408583
428	0.9288834136	0.1980485948
429	0.9294433867	0.1977585153
430	0.9294433867	0.1973837283
431	0.9294433867	0.1972890071
432	0.9295553813	0.1971998108
433	0.9294433867	0.1967815775
434	0.9303393437	0.1963642506
435	0.9303393437	0.1961149253
436	0.9304513383	0.1960365301
437	0.9303393437	0.195742023
438	0.9306753276	0.1954692827
439	0.930563333	0.1953592484
440	0.9307873222	0.1952204356
441	0.9311233061	0.1947676588
442	0.9310113115	0.1944880615
443	0.9311233061	0.194316989
444	0.9311233061	0.1939969658
445	0.9312353007	0.1938153338
446	0.9313472953	0.1934412164
447	0.9315712846	0.1932244209
448	0.93145929	0.1929481323
449	0.9316832792	0.1928342746
450	0.9316832792	0.1926496267
451	0.9317952738	0.192212742
452	0.9317952738	0.1920725318
453	0.9319072685	0.1918471022
454	0.9323552469	0.1914554804
455	0.9325792362	0.1912862086
456	0.9326912308	0.1909390851
457	0.9326912308	0.1907179686
458	0.9328032254	0.1905789795
459	0.9329152201	0.1901428466
460	0.9330272147	0.1898954881
461	0.9329152201	0.1896930655
462	0.9328032254	0.1895645405
463	0.9329152201	0.1893948133
464	0.9331392093	0.1891407723
465	0.9332512039	0.1890461462
466	0.9336991824	0.1887477764
467	0.9336991824	0.1886088573
468	0.9336991824	0.1883849937
469	0.9342591556	0.188120101
470	0.9343711502	0.1876795514
471	0.9347071341	0.1872635737
472	0.9347071341	0.1870543813
473	0.9349311233	0.1869463295
474	0.9353791018	0.1868772048
475	0.9353791018	0.1868176966
476	0.9353791018	0.1866323746
477	0.9357150857	0.1861566361
478	0.9357150857	0.1861452144
479	0.9357150857	0.1860928594
480	0.9358270803	0.1859737732
481	0.9354910964	0.1855685936
482	0.9359390749	0.1854158938
483	0.9362750588	0.1851584974
484	0.9367230373	0.1849904198
485	0.9367230373	0.1849748836
486	0.9363870534	0.1847541826
487	0.9363870534	0.1844522578
488	0.936499048	0.1843018199
489	0.9370590212	0.1839707935
490	0.9371710158	0.1837101731
491	0.9368350319	0.1835052103
492	0.9369470265	0.1833535311
493	0.9367230373	0.1831829996
494	0.9370590212	0.1830603609
495	0.9371710158	0.1830103347
496	0.9376189943	0.1827914232
497	0.937395005	0.1825545803
498	0.9376189943	0.1824456012
499	0.9375069997	0.1823425768
